EnsemlID,WT_interaction_score
ENSG00000139219,6.55912939
ENSG00000093010,1.153224531
ENSG00000131055,0.237880484
ENSG00000126267,3.238613131
ENSG00000080618,0.47589702
ENSG00000120054,0.292366407
ENSG00000110090,4.650629066
ENSG00000124490,-0.760206331
ENSG00000160202,0.903350398
ENSG00000109846,1.719344095
ENSG00000196431,1.25615473
ENSG00000196431,0.697905018
ENSG00000100122,0.770444609
ENSG00000163254,0.928346839
ENSG00000118231,-0.533734894
ENSG00000213139,1.335234317
ENSG00000103316,0.492803211
ENSG00000164400,2.133432937
ENSG00000141551,3.236831887
ENSG00000129170,-0.488037136
ENSG00000116761,0.942346791
ENSG00000163599,-0.443103264
ENSG00000162438,0.621945124
ENSG00000100448,0.175429312
ENSG00000158290,6.396911202
ENSG00000161921,0.20390838
ENSG00000166347,3.140526665
ENSG00000071967,-0.12858005
ENSG00000172115,-0.359051473
ENSG00000137869,1.409282671
ENSG00000140465,3.577556399
ENSG00000140505,7.164714094
ENSG00000111012,0.049155445
ENSG00000255974,1.93187808
ENSG00000197408,3.238918685
ENSG00000130649,1.587309831
ENSG00000134716,1.082141445
ENSG00000160868,-0.008274912
ENSG00000106258,0.36429324
ENSG00000186204,5.437918001
ENSG00000186115,1.527674621
ENSG00000186115,-0.477991869
ENSG00000180902,0.381084849
ENSG00000117593,3.185880675
ENSG00000123454,0.458105415
ENSG00000156136,0.86043388
ENSG00000077279,-0.570529906
ENSG00000134574,10.77079881
ENSG00000164825,-0.271458026
ENSG00000204311,6.507747623
ENSG00000114956,1.076405353
ENSG00000116133,-0.24877755
ENSG00000162946,1.984877896
ENSG00000130826,12.84378467
ENSG00000091140,-0.615175584
ENSG00000100206,-0.322721738
ENSG00000198947,6.491646985
ENSG00000087470,-0.615067946
ENSG00000079805,-1.158711893
ENSG00000000419,4.769336987
ENSG00000188641,1.518556597
ENSG00000147647,-1.350815393
ENSG00000184845,-1.545266108
ENSG00000149295,-0.25419767
ENSG00000134769,-0.119670359
ENSG00000047579,0.103356646
ENSG00000141627,0.562910607
ENSG00000147155,-1.706775964
ENSG00000124205,-0.083583678
ENSG00000136160,0.19036676
ENSG00000115380,0.292342101
ENSG00000096093,0.89062822
ENSG00000096093,-0.017167414
ENSG00000090776,-0.737182105
ENSG00000111361,-0.852820593
ENSG00000119718,-0.171743095
ENSG00000115211,6.661146397
ENSG00000115211,3.272165771
ENSG00000277571,2.045947129
ENSG00000102119,-0.919803
ENSG00000166947,11.73090312
ENSG00000143819,-1.142434172
ENSG00000120915,-0.505682908
ENSG00000012061,0.176318198
ENSG00000163161,4.278678967
ENSG00000164010,1.034388138
ENSG00000105379,-0.898698906
ENSG00000105755,-1.133472397
ENSG00000164089,-0.157698004
ENSG00000182197,0.298401108
ENSG00000151348,0.652733212
ENSG00000126218,1.959739095
ENSG00000088926,0.32269269
ENSG00000131187,7.388584846
ENSG00000101981,-0.621040147
ENSG00000163586,0.224015949
ENSG00000145384,-0.703539861
ENSG00000144554,-0.714973849
ENSG00000026103,0.739753743
ENSG00000140092,0.085294208
ENSG00000165140,-1.044340762
ENSG00000165140,1.555991936
ENSG00000100225,1.283067831
ENSG00000275136,-0.76051883
ENSG00000072694,-0.824664441
ENSG00000203747,1.436053411
