Genus,Scientific_name,GenerationLength_d
Sylvilagus,Sylvilagus transitionalis,1089.485
Poiana,Poiana leightoni,1095
Lepus,Lepus townsendii,1097.83525
Lagorchestes,Lagorchestes conspicillatus,1100.21785
Xerus,Xerus erythropus,1103.687
Sylvilagus,Sylvilagus floridanus,1107.0505
Vormela,Vormela peregusna,1120.762778
Geomys,Geomys bursarius,1126.8755
Tamias,Tamias townsendii,1133.1875
Dipodomys,Dipodomys ordii,1142.08425
Tamias,Tamias minimus,1148.8483
Geocapromys,Geocapromys ingrahami,1153.4
Microgale,Microgale dobsoni,1155.0817
Salanoia,Salanoia concolor,1155.6
Tamias,Tamias striatus,1160.355
Conepatus,Conepatus leuconotus,1171.038017
Urocyon,Urocyon littoralis,1171.6557
Macrotis,Macrotis lagotis,1183.8648
Mustela,Mustela nivalis,1194.19395
Elephantulus,Elephantulus intufi,1202.7224
Ammospermophilus,Ammospermophilus leucurus,1205.3128
Spermophilus,Spermophilus tereticaudus,1208.53695
Neotoma,Neotoma lepida,1221.14745
Lepus,Lepus californicus,1226.50635
Poecilogale,Poecilogale albinucha,1241.55565
Mustela,Mustela kathiah,1253.04
Spilogale,Spilogale putorius,1257.256817
Galictis,Galictis cuja,1261.998333
Mungos,Mungos gambianus,1274.34
Cynopterus,Cynopterus brachyotis,1287.664
Corynorhinus,Corynorhinus rafinesquii,1289.8028
Spilogale,Spilogale gracilis,1289.864667
Herpestes,Herpestes pulverulentus,1296.774028
Conepatus,Conepatus humboldtii,1302.644667
Octodon,Octodon degus,1310.04695
Tamias,Tamias sibiricus,1311.5224
Crossarchus,Crossarchus ansorgei,1317.65
Conepatus,Conepatus chinga,1317.65
Vulpes,Vulpes bengalensis,1317.65
Pectinator,Pectinator spekei,1324.1536
Atelerix,Atelerix albiventris,1335.15805
Thylogale,Thylogale stigmatica,1338.6623
Vulpes,Vulpes chama,1346.38115
Lycalopex,Pseudalopex fulvipes,1384.149167
Crossarchus,Crossarchus obscurus,1384.606533
Rhynchogale,Rhynchogale melleri,1386.717125
Pudu,Pudu mephistophiles,1390.07
Leopardus,Leopardus jacobita,1392.97
Vulpes,Vulpes cana,1401.15625
Helogale,Helogale hirtula,1414.679167
Herpestes,Herpestes sanguineus,1421.102183
Vulpes,Vulpes ferrilata,1427.3028
Spermophilus,Spermophilus lateralis,1437.367
Lasionycteris,Lasionycteris noctivagans,1450.03755
Tamiasciurus,Tamiasciurus hudsonicus,1453.76635
Atelocynus,Atelocynus microtis,1455.255
Hippocamelus,Hippocamelus antisensis,1459.26
Zaedyus,Zaedyus pichiy,1460
Chaetophractus,Chaetophractus villosus,1460
Pudu,Pudu puda,1460
Canis,Canis simensis,1460
Mazama,Mazama chunyi,1460
Muntiacus,Muntiacus vaginalis,1460
Lycalopex,Pseudalopex sechurae,1461.835
Martes,Martes gwatkinsii,1470.1
Herpestes,Herpestes javanicus,1472.701
Lycalopex,Pseudalopex vetulus,1472.896666
Neovison,Neovison vison,1473.65
Mustela,Mustela sibirica,1484.792222
Melogale,Melogale personata,1488.11
Mustela,Mustela nigripes,1497.506633
Crossarchus,Crossarchus platycephalus,1507.34
Myotis,Myotis volans,1509.30515
Prionodon,Prionodon linsang,1523.095
Antrozous,Antrozous pallidus,1524.0575
Lepilemur,Lepilemur leucopus,1524.622233
Setifer,Setifer setosus,1527.70685
Vulpes,Vulpes pallida,1529.35
Cerdocyon,Cerdocyon thous,1530.1676
Canis,Canis adustus,1549.637578
Speothos,Speothos venaticus,1559.119689
Neotragus,Neotragus pygmaeus,1560.5875
Cynomys,Cynomys ludovicianus,1567.7682
Cephalophus,Cephalophus niger,1571.426333
Mustela,Mustela africana,1572.66
Lynx,Lynx pardinus,1578.34
Myotis,Myotis velifer,1579.5955
Prionodon,Prionodon pardicolor,1583.31
Callosciurus,Callosciurus notatus,1585.1964
Herpestes,Herpestes edwardsii,1585.89115
Porcula,Porcula salvania,1589.266667
Myoprocta,Myoprocta acouchy,1595.20195
Vespertilio,Vespertilio murinus,1599.6536
Xerus,Xerus inauris,1603.12755
Procyon,Procyon pygmaeus,1604.369167
Marmota,Marmota monax,1604.9839
Cryptomys,Cryptomys hottentotus,1606.95955
Herpestes,Herpestes vitticollis,1618.29
Aonyx,Aonyx capensis,1622.093517
Melogale,Melogale moschata,1627.173333
Paracynictis,Paracynictis selousi,1646.259167
Trogopterus,Trogopterus xanthipes,1647.5821
Mustela,Mustela putorius,1652.464383
Spilocuscus,Spilocuscus maculatus,1656.11315
Viverricula,Viverricula indica,1658.835
Herpestes,Herpestes urva,1669.307222
Lycalopex,Pseudalopex culpaeus,1673.5696
Dendrohyrax,Dendrohyrax dorsalis,1675.3724
Dasyprocta,Dasyprocta punctata,1683.36075
Felis,Felis nigripes,1685.3793
Saiga,Saiga tatarica,1700.19755
Sarcophilus,Sarcophilus harrisii,1704.2151
Capromys,Capromys pilorides,1714.826067
Lycalopex,Pseudalopex gymnocercus,1717.83165
Glaucomys,Glaucomys sabrinus,1729.4573
Vulpes,Vulpes rueppellii,1729.495
Herpestes,Herpestes brachyurus,1730.465
Mydaus,Mydaus javanensis,1730.465
Felis,Felis margarita,1730.465
Mephitis,Mephitis mephitis,1735.559295
Mustela,Mustela lutreolina,1741.05
Conepatus,Conepatus semistriatus,1741.05
Raphicerus,Raphicerus sharpei,1742.47
Raphicerus,Raphicerus campestris,1744.588433
Lyncodon,Lyncodon patagonicus,1745.31
Galidictis,Galidictis grandidieri,1754.1
Martes,Martes melampus,1772.805
Helogale,Helogale parvula,1776.167778
Nesotragus,Nesotragus moschatus,1778.035983
Moschiola,Moschiola meminna,1779.775
Herpestes,Herpestes ochraceus,1782.29
Pelea,Pelea capreolus,1787.9305
Procapra,Procapra gutturosa,1793.275567
Arctonyx,Arctonyx collaris,1798.679445
Pipistrellus,Pipistrellus subflavus,1809.35425
Eudorcas,Eudorcas albonotata,1816.76125
Paradoxurus,Paradoxurus jerdoni,1817.61
Pardofelis,Pardofelis marmorata,1821.16
Tadarida,Tadarida brasiliensis,1821.51315
Rousettus,Rousettus aegyptiacus,1825
Spilogale,Spilogale pygmaea,1825
Chinchilla,Chinchilla lanigera,1825
Hemigalus,Hemigalus derbyanus,1825
Herpestes,Herpestes fuscus,1825
Diplogale,Diplogale hosei,1825
Liberiictis,Liberiictis kuhni,1825
Tragulus,Tragulus javanicus,1825
Tragulus,Tragulus kanchil,1825
Bdeogale,Bdeogale omnivora,1825
Arctogalidia,Arctogalidia trivirgata,1825
Bdeogale,Bdeogale jacksoni,1825
Chrotogale,Chrotogale owstoni,1825
Dasypus,Dasypus novemcinctus,1825
Cynogale,Cynogale bennettii,1825
Euphractus,Euphractus sexcinctus,1825
Macrogalidia,Macrogalidia musschenbroekii,1825
Viverra,Viverra megaspila,1825
Dorcatragus,Dorcatragus megalotis,1825
Caracal,Caracal aurata,1825
Cephalophus,Cephalophus zebra,1825
Eudorcas,Eudorcas rufifrons,1825
Rusa,Rusa timorensis,1825
Cephalophus,Cephalophus jentinki,1825
Rangifer,Rangifer tarandus,1825
Blastocerus,Blastocerus dichotomus,1825
Canis,Canis mesomelas,1827.5715
Petrogale,Petrogale assimilis,1838.66105
Mustela,Mustela altaica,1846.9
Bdeogale,Bdeogale crassicauda,1846.9
Tamandua,Tamandua tetradactyla,1854.65
Raphicerus,Raphicerus melanotis,1856.78
Alopex,Alopex lagopus,1871.187117
Vulpes,Vulpes zerda,1878.788155
Cheirogaleus,Cheirogaleus major,1888.9911
Cephalophus,Cephalophus natalensis,1890.876667
Muntiacus,Muntiacus feae,1893.82625
Solenodon,Solenodon paradoxus,1901.915067
Bassaricyon,Bassaricyon beddardi,1902.74
Felis,Felis chaus,1903.782067
Callithrix,Mico humeralifer,1905.83
Marmota,Marmota caligata,1906.4999
Redunca,Redunca fulvorufula,1914.52065
Artibeus,Artibeus jamaicensis,1920.4777
Hyemoschus,Hyemoschus aquaticus,1930.0898
Glaucomys,Glaucomys volans,1930.24335
Cynictis,Cynictis penicillata,1930.60005
Mustela,Mustela itatsi,1931.45
Madoqua,Madoqua guentheri,1931.482667
Bdeogale,Bdeogale nigripes,1933.932222
Cephalophus,Cephalophus callipygus,1936.42625
Mustela,Mustela felipei,1939.368333
Urocyon,Urocyon cinereoargenteus,1955.5492
Capra,Capra walie,1956.36625
Otocyon,Otocyon megalotis,1959.906067
Muntiacus,Muntiacus montanus,1960.885
Pipistrellus,Pipistrellus pipistrellus,1962.5383
Cephalophus,Cephalophus ogilbyi,1965.47
Petrogale,Petrogale penicillata,1965.66275
Echinops,Echinops telfairi,1967.0915
Macropus,Macropus dorsalis,1970.3441
Sciurus,Sciurus niger,1975.47
Muntiacus,Muntiacus atherodes,1977.54
Priodontes,Priodontes maximus,1979.1637
Axis,Axis kuhlii,1985.475
Potorous,Potorous longipes,1995.4701
Hypogeomys,Hypogeomys antimena,2006.8029
Dobsonia,Dobsonia moluccensis,2011.279
Canis,Canis rufus,2015.29
Nanger,Nanger granti,2016.276883
Mazama,Mazama americana,2017.365
Gazella,Gazella cuvieri,2022.515
Dendrohyrax,Dendrohyrax arboreus,2028.6186
Galidictis,Galidictis fasciata,2029.31
Muntiacus,Muntiacus gongshanensis,2029.755
