Genus,Scientific_name,GenerationLength_d
Necromys,Necromys lenguarum,589.3882991
Graomys,Graomys edithae,589.3882991
Habromys,Habromys ixtlani,589.3882991
Necromys,Necromys obscurus,589.3882991
Thomasomys,Thomasomys caudivarius,589.3882991
Oecomys,Oecomys bicolor,589.3882991
Melanomys,Melanomys caliginosus,589.3882991
Cerradomys,Cerradomys maracajuensis,589.3882991
Cerradomys,Cerradomys marinhus,589.3882991
Rhipidomys,Rhipidomys macconnelli,589.3882991
Oxymycterus,Oxymycterus paramensis,589.3882991
Chionomys,Chionomys nivalis,589.3882991
Alticola,Alticola albicaudus,589.3882991
Alticola,Alticola olchonensis,589.3882991
Akodon,Akodon neocenus,589.3882991
Akodon,Akodon simulator,589.3882991
Phyllotis,Phyllotis bonariensis,589.3882991
Phyllotis,Phyllotis haggardi,589.3882991
Phyllotis,Phyllotis wolffsohni,589.3882991
Lasiopodomys,Lasiopodomys fuscus,589.3882991
Eothenomys,Eothenomys proditor,589.3882991
Handleyomys,Handleyomys rostratus,589.3882991
Neusticomys,Neusticomys ferreirai,589.3882991
Brucepattersonius,Brucepattersonius paradisus,589.3882991
Brucepattersonius,Brucepattersonius griserufescens,589.3882991
Brucepattersonius,Brucepattersonius guarani,589.3882991
Brucepattersonius,Brucepattersonius soricinus,589.3882991
Brucepattersonius,Brucepattersonius misionensis,589.3882991
Brucepattersonius,Brucepattersonius igniventris,589.3882991
Brucepattersonius,Brucepattersonius albinasus,589.3882991
Brucepattersonius,Brucepattersonius iheringi,589.3882991
Neodon,Neodon forresti,589.3882991
Irenomys,Irenomys tarsalis,589.3882991
Phyllotis,Phyllotis osilae,589.3882991
Neotomodon,Neotomodon alstoni,589.3882991
Necromys,Necromys urichi,589.3882991
Calomys,Calomys callosus,589.3882991
Phyllotis,Phyllotis osgoodi,589.3882991
Pseudoryzomys,Pseudoryzomys simplex,589.3882991
Neodon,Neodon sikimensis,589.3882991
Eothenomys,Eothenomys chinensis,589.3882991
Proedromys,Proedromys liangshanensis,589.3882991
Alticola,Alticola semicanus,589.3882991
Lasiopodomys,Lasiopodomys mandarinus,589.3882991
Oxymycterus,Oxymycterus quaestor,589.3882991
Alticola,Alticola barakshin,589.3882991
Alticola,Alticola lemminus,589.3882991
Alticola,Alticola montosa,589.3882991
Alticola,Alticola tuvinicus,589.3882991
Cansumys,Cansumys canus,589.3882991
Cricetulus,Cricetulus alticola,589.3882991
Eolagurus,Eolagurus przewalskii,589.3882991
Neodon,Neodon irene,589.3882991
Oligoryzomys,Oligoryzomys vegetus,589.3882991
Nephelomys,Nephelomys devius,589.3882991
Proedromys,Proedromys bedfordi,589.3882991
Rhipidomys,Rhipidomys emiliae,589.3882991
Eothenomys,Eothenomys wardi,589.3882991
Rhipidomys,Rhipidomys modicus,589.3882991
Eothenomys,Eothenomys miletus,589.3882991
Nephelomys,Nephelomys meridensis,589.3882991
Oecomys,Oecomys catherinae,589.3882991
Rhipidomys,Rhipidomys macrurus,589.3882991
Eothenomys,Eothenomys cachinus,589.3882991
Oecomys,Oecomys auyantepui,589.3882991
Phyllotis,Phyllotis limatus,589.3882991
Nectomys,Nectomys apicalis,589.3882991
Thomasomys,Thomasomys cinnameus,589.3882991
Oecomys,Oecomys concolor,589.3882991
Wiedomys,Wiedomys cerradensis,589.3882991
Wiedomys,Wiedomys pyrrhorhinos,589.3882991
Wilfredomys,Wilfredomys oenax,589.3882991
Neusticomys,Neusticomys oyapocki,589.3882991
Neusticomys,Neusticomys venezuelae,589.3882991
Necromys,Necromys temchuki,589.3882991
Abrothrix,Abrothrix illuteus,589.3882991
Allocricetulus,Allocricetulus curtatus,589.3882991
Auliscomys,Auliscomys pictus,589.3882991
Habromys,Habromys schmidlyi,589.3882991
Habromys,Habromys delicatulus,589.3882991
Calomys,Calomys venustus,589.3882991
Handleyomys,Handleyomys fuscatus,589.3882991
Phyllotis,Phyllotis anitae,589.3882991
Cerradomys,Cerradomys subflavus,589.3882991
Chibchanomys,Chibchanomys orcesi,589.3882991
Alticola,Alticola strelzowi,589.3882991
Chibchanomys,Chibchanomys trichotis,589.3882991
Osgoodomys,Osgoodomys banderanus,589.3882991
Handleyomys,Handleyomys chapmani,589.3882991
Handleyomys,Handleyomys melanotis,589.3882991
Sigmodontomys,Sigmodontomys aphrastus,589.3882991
Reithrodon,Reithrodon typicus,589.3882991
Nelsonia,Nelsonia goldmani,589.3882991
Sigmodontomys,Sigmodontomys alfari,589.3882991
Akodon,Akodon dolores,589.3882991
Phaiomys,Phaiomys leucurus,589.3882991
Chelemys,Chelemys megalonyx,589.3882991
Phyllotis,Phyllotis caprinus,589.3882991
Phyllotis,Phyllotis darwini,589.3882991
Akodon,Akodon toba,589.3882991
Zygodontomys,Zygodontomys brevicauda,589.3882991
Phyllotis,Phyllotis xanthopygus,589.3882991
Hyperacrius,Hyperacrius wynnei,589.3882991
Phyllotis,Phyllotis andium,589.3882991
Melanomys,Melanomys robustulus,589.3882991
Melanomys,Melanomys zunigae,589.3882991
Lenoxus,Lenoxus apicalis,589.3882991
Thomasomys,Thomasomys niveipes,589.3882991
Transandinomys,Transandinomys talamancae,589.3882991
Euryoryzomys,Euryoryzomys nitidus,589.3882991
Dinaromys,Dinaromys bogdanovi,589.3882991
Megadontomys,Megadontomys cryophilus,589.3882991
Megadontomys,Megadontomys nelsoni,589.3882991
Rhipidomys,Rhipidomys latimanus,589.3882991
Nephelomys,Nephelomys keaysi,589.3882991
Pearsonomys,Pearsonomys annectens,589.3882991
Galenomys,Galenomys garleppi,589.3882991
Nectomys,Nectomys palmipes,589.3882991
Euryoryzomys,Euryoryzomys emmonsae,589.3882991
Nyctomys,Nyctomys sumichrasti,589.3882991
Akodon,Akodon aerosus,589.3882991
Transandinomys,Transandinomys bolivaris,589.3882991
Ellobius,Ellobius tancrei,589.3882991
Handleyomys,Handleyomys intectus,589.3882991
Euryoryzomys,Euryoryzomys russatus,589.3882991
Nephelomys,Nephelomys caracolus,589.3882991
Nephelomys,Nephelomys auriventer,589.3882991
Mindomys,Mindomys hammondi,589.3882991
Euryoryzomys,Euryoryzomys lamia,589.3882991
Nephelomys,Nephelomys levipes,589.3882991
Oreoryzomys,Oreoryzomys balneator,589.3882991
Eremoryzomys,Eremoryzomys polius,589.3882991
Volemys,Volemys millicens,589.3882991
Volemys,Volemys musseri,589.3882991
Juscelinomys,Juscelinomys huanchacae,589.3882991
Juscelinomys,Juscelinomys guaporensis,589.3882991
Microakodontomys,Microakodontomys transitorius,589.3882991
Tapecomys,Tapecomys primus,589.3882991
Chelemys,Chelemys delfini,589.3882991
Euryoryzomys,Euryoryzomys legatus,589.3882991
Nephelomys,Nephelomys albigularis,589.3882991
Euryoryzomys,Euryoryzomys macconnelli,589.3882991
Oecomys,Oecomys mamorae,589.3882991
Abrawayaomys,Abrawayaomys ruschii,589.3882991
Oxymycterus,Oxymycterus amazonicus,589.3882991
Oxymycterus,Oxymycterus josei,589.3882991
Oxymycterus,Oxymycterus caparoae,589.3882991
Neotomys,Neotomys ebriosus,589.3882991
Aegialomys,Aegialomys galapagoensis,589.3882991
Anotomys,Anotomys leander,589.3882991
Ichthyomys,Ichthyomys hydrobates,589.3882991
Delomys,Delomys collinus,589.3882991
Delomys,Delomys dorsalis,589.3882991
Oxymycterus,Oxymycterus akodontius,589.3882991
Oxymycterus,Oxymycterus angularis,589.3882991
Oxymycterus,Oxymycterus hucucha,589.3882991
Oxymycterus,Oxymycterus nasutus,589.3882991
Oxymycterus,Oxymycterus hiska,589.3882991
Graomys,Graomys griseoflavus,589.3882991
Phyllotis,Phyllotis magister,589.3882991
Nesoryzomys,Nesoryzomys narboroughi,589.3882991
Ichthyomys,Ichthyomys pittieri,589.3882991
Andinomys,Andinomys edax,589.3882991
Graomys,Graomys centralis,589.3882991
Loxodontomys,Loxodontomys pikumche,589.3882991
Loxodontomys,Loxodontomys micropus,589.3882991
Auliscomys,Auliscomys boliviensis,589.3882991
Chelemys,Chelemys macronyx,589.3882991
Thomasomys,Thomasomys praetor,589.3882991
Thomasomys,Thomasomys vulcani,589.3882991
Thomasomys,Thomasomys macrotis,589.3882991
Thomasomys,Thomasomys popayanus,589.3882991
Thomasomys,Thomasomys onkiro,589.3882991
Thomasomys,Thomasomys apeco,589.3882991
Thomasomys,Thomasomys hudsoni,589.3882991
Oecomys,Oecomys cleberi,589.3882991
Oecomys,Oecomys flavicans,589.3882991
Oecomys,Oecomys paricola,589.3882991
Oecomys,Oecomys phaeotis,589.3882991
Oecomys,Oecomys rex,589.3882991
Oecomys,Oecomys roberti,589.3882991
Oecomys,Oecomys rutilus,589.3882991
Oecomys,Oecomys speciosus,589.3882991
Oecomys,Oecomys superans,589.3882991
Oecomys,Oecomys trinitatis,589.3882991
Ellobius,Ellobius alaicus,589.3882991
Prometheomys,Prometheomys schaposchnikowi,589.3882991
Oxymycterus,Oxymycterus dasytrichus,589.3882991
Euneomys,Euneomys chinchilloides,589.3882991
Zygodontomys,Zygodontomys brunneus,589.3882991
Rhipidomys,Rhipidomys cariri,589.3882991
Rhipidomys,Rhipidomys gardneri,589.3882991
Thomasomys,Thomasomys vestitus,589.3882991
Thomasomys,Thomasomys baeops,589.3882991
Thomasomys,Thomasomys cinereiventer,589.3882991
Thomasomys,Thomasomys cinereus,589.3882991
Thomasomys,Thomasomys daphne,589.3882991
Thomasomys,Thomasomys eleusis,589.3882991
Thomasomys,Thomasomys gracilis,589.3882991
Thomasomys,Thomasomys hylophilus,589.3882991
Thomasomys,Thomasomys incanus,589.3882991
Thomasomys,Thomasomys ischyrus,589.3882991
Thomasomys,Thomasomys kalinowskii,589.3882991
Thomasomys,Thomasomys ladewi,589.3882991
Thomasomys,Thomasomys monochromos,589.3882991
Thomasomys,Thomasomys notatus,589.3882991
Thomasomys,Thomasomys oreas,589.3882991
Thomasomys,Thomasomys paramorum,589.3882991
Thomasomys,Thomasomys pyrrhonotus,589.3882991
Thomasomys,Thomasomys rhoadsi,589.3882991
Thomasomys,Thomasomys rosalinda,589.3882991
Thomasomys,Thomasomys silvestris,589.3882991
Thomasomys,Thomasomys taczanowskii,589.3882991
Thomasomys,Thomasomys erro,589.3882991
Reithrodon,Reithrodon auritus,589.3882991
Aegialomys,Aegialomys xanthaeolus,589.3882991
Ellobius,Ellobius fuscocapillus,589.3882991
Nelsonia,Nelsonia neotomodon,589.3882991
Rhipidomys,Rhipidomys leucodactylus,589.3882991
Oxymycterus,Oxymycterus delator,589.3882991
Euneomys,Euneomys mordax,589.3882991
Oxymycterus,Oxymycterus rufus,589.3882991
Euneomys,Euneomys petersoni,589.3882991
Euneomys,Euneomys fossor,589.3882991
Oxymycterus,Oxymycterus roberti,589.3882991
Ichthyomys,Ichthyomys stolzmanni,589.3882991
Punomys,Punomys kofordi,589.3882991
Punomys,Punomys lemminus,589.3882991
Habromys,Habromys lepturus,589.3882991
Ototylomys,Ototylomys phyllotis,589.3882991
Thomasomys,Thomasomys aureus,589.3882991
Phyllotis,Phyllotis definitus,589.3882991
Rhipidomys,Rhipidomys austrinus,589.3882991
Rhipidomys,Rhipidomys caucensis,589.3882991
Rhipidomys,Rhipidomys couesi,589.3882991
Rhipidomys,Rhipidomys fulviventer,589.3882991
Rhipidomys,Rhipidomys nitela,589.3882991
Rhipidomys,Rhipidomys ochrogaster,589.3882991
Rhipidomys,Rhipidomys venustus,589.3882991
Rhipidomys,Rhipidomys wetzeli,589.3882991
Delomys,Delomys sublineatus,589.3882991
Rhipidomys,Rhipidomys venezuelae,589.3882991
Chionomys,Chionomys gud,589.3882991
Chionomys,Chionomys roberti,589.3882991
Phaenomys,Phaenomys ferrugineus,589.3882991
Suncus,Suncus fellowesgordoni,590.755
Suncus,Suncus madagascariensis,590.755
Suncus,Suncus remyi,590.755
Suncus,Suncus infinitesimus,590.755
Suncus,Suncus varilla,590.755
Suncus,Suncus malayanus,590.755
Suncus,Suncus megalura,590.755
Suncus,Suncus aequatorius,590.755
Suncus,Suncus mertensi,590.755
Suncus,Suncus lixus,590.755
Suncus,Suncus dayi,590.755
Suncus,Suncus stoliczkanus,590.755
Philander,Philander andersoni,590.8718
Philander,Philander mondolfii,590.8718
Philander,Philander deltae,590.8718
Philander,Philander olrogi,590.8718
Philander,Philander frenatus,590.8718
Philander,Philander mcilhennyi,590.8718
Sigmodon,Sigmodon alstoni,596.57
Sigmodon,Sigmodon peruanus,596.57
Sigmodon,Sigmodon hirsutus,596.57
Sigmodon,Sigmodon mascotensis,596.57
Sigmodon,Sigmodon ochrognathus,596.57
Sigmodon,Sigmodon leucotis,596.57
Sigmodon,Sigmodon inopinatus,596.57
Sigmodon,Sigmodon toltecus,596.57
Sigmodon,Sigmodon alleni,596.57
Sigmodon,Sigmodon planifrons,596.57
Sigmodon,Sigmodon fulviventer,596.57
Sigmodon,Sigmodon arizonae,596.57
Ctenomys,Ctenomys goodfellowi,600.93415
Ctenomys,Ctenomys rionegrensis,600.93415
Ctenomys,Ctenomys bergi,600.93415
Ctenomys,Ctenomys minutus,600.93415
Ctenomys,Ctenomys lewisi,600.93415
Ctenomys,Ctenomys occultus,600.93415
Ctenomys,Ctenomys pundti,600.93415
Ctenomys,Ctenomys haigi,600.93415
Ctenomys,Ctenomys dorsalis,600.93415
Ctenomys,Ctenomys frater,600.93415
Ctenomys,Ctenomys mendocinus,600.93415
Ctenomys,Ctenomys latro,600.93415
Ctenomys,Ctenomys porteousi,600.93415
Ctenomys,Ctenomys bonettoi,600.93415
Ctenomys,Ctenomys torquatus,600.93415
Ctenomys,Ctenomys pearsoni,600.93415
Ctenomys,Ctenomys maulinus,600.93415
Ctenomys,Ctenomys tucumanus,600.93415
Ctenomys,Ctenomys argentinus,600.93415
Ctenomys,Ctenomys saltarius,600.93415
Ctenomys,Ctenomys validus,600.93415
Ctenomys,Ctenomys leucodon,600.93415
Ctenomys,Ctenomys tuconax,600.93415
Ctenomys,Ctenomys dorbignyi,600.93415
Ctenomys,Ctenomys johannis,600.93415
Ctenomys,Ctenomys pilarensis,600.93415
Ctenomys,Ctenomys coyhaiquensis,600.93415
Ctenomys,Ctenomys coludo,600.93415
Ctenomys,Ctenomys osvaldoreigi,600.93415
Ctenomys,Ctenomys flamarioni,600.93415
Ctenomys,Ctenomys fochi,600.93415
Ctenomys,Ctenomys juris,600.93415
Ctenomys,Ctenomys lami,600.93415
Ctenomys,Ctenomys scagliai,600.93415
Ctenomys,Ctenomys famosus,600.93415
Ctenomys,Ctenomys sylvanus,600.93415
Ctenomys,Ctenomys fodax,600.93415
Ctenomys,Ctenomys roigi,600.93415
Ctenomys,Ctenomys yolandae,600.93415
Ctenomys,Ctenomys budini,600.93415
Ctenomys,Ctenomys viperinus,600.93415
Ctenomys,Ctenomys tulduco,600.93415
Ctenomys,Ctenomys magellanicus,600.93415
Ctenomys,Ctenomys fulvus,600.93415
Ctenomys,Ctenomys emilianus,600.93415
Ctenomys,Ctenomys knighti,600.93415
Ctenomys,Ctenomys opimus,600.93415
Ctenomys,Ctenomys steinbachi,600.93415
Ctenomys,Ctenomys azarae,600.93415
Ctenomys,Ctenomys colburni,600.93415
Ctenomys,Ctenomys perrensi,600.93415
Ctenomys,Ctenomys pontifex,600.93415
Ctenomys,Ctenomys sericeus,600.93415
Ctenomys,Ctenomys sociabilis,600.93415
Ctenomys,Ctenomys brasiliensis,600.93415
Ctenomys,Ctenomys australis,600.93415
Ctenomys,Ctenomys boliviensis,600.93415
Ctenomys,Ctenomys peruanus,600.93415
Ctenomys,Ctenomys conoveri,600.93415
Scapanus,Scapanus townsendii,601.7602
Scapanus,Scapanus latimanus,601.7602
Zapus,Zapus princeps,604.1943
Zapus,Zapus trinotatus,604.1943
Dendromus,Dendromus mesomelas,604.575
Dendromus,Dendromus insignis,604.575
Dendromus,Dendromus lovati,604.575
Prionomys,Prionomys batesi,604.575
Dendromus,Dendromus nyikae,604.575
Malacothrix,Malacothrix typica,604.575
Petromyscus,Petromyscus collinus,604.575
Steatomys,Steatomys krebsii,604.575
Petromyscus,Petromyscus monticularis,604.575
Voalavo,Voalavo gymnocaudus,604.575
Steatomys,Steatomys jacksoni,604.575
Voalavo,Voalavo antsahabensis,604.575
Monticolomys,Monticolomys koopmani,604.575
Macrotarsomys,Macrotarsomys bastardi,604.575
Steatomys,Steatomys pratensis,604.575
Steatomys,Steatomys opimus,604.575
Steatomys,Steatomys caurinus,604.575
Petromyscus,Petromyscus shortridgei,604.575
Megadendromus,Megadendromus nikolausi,604.575
Macrotarsomys,Macrotarsomys ingens,604.575
Eliurus,Eliurus minor,604.575
Eliurus,Eliurus webbi,604.575
Eliurus,Eliurus myoxinus,604.575
Eliurus,Eliurus petteri,604.575
Beamys,Beamys hindei,604.575
Eliurus,Eliurus grandidieri,604.575
Eliurus,Eliurus danieli,604.575
Eliurus,Eliurus antsingy,604.575
Eliurus,Eliurus tanala,604.575
Brachyuromys,Brachyuromys ramirohitra,604.575
Brachyuromys,Brachyuromys betsileoensis,604.575
Gymnuromys,Gymnuromys roberti,604.575
Meriones,Meriones persicus,608.1480167
Meriones,Meriones tristrami,608.1480167
Meriones,Meriones vinogradovi,608.1480167
Meriones,Meriones tamariscinus,608.1480167
Meriones,Meriones rex,608.1480167
Meriones,Meriones sacramenti,608.1480167
Meriones,Meriones meridianus,608.1480167
Meriones,Meriones chengi,608.1480167
Meriones,Meriones dahli,608.1480167
Meriones,Meriones hurrianae,608.1480167
Meriones,Meriones shawi,608.1480167
Meriones,Meriones grandis,608.1480167
Meriones,Meriones arimalius,608.1480167
Meriones,Meriones zarudnyi,608.1480167
Thomomys,Thomomys monticola,608.8612
Thomomys,Thomomys mazama,608.8612
Thomomys,Thomomys umbrinus,608.8612
Thomomys,Thomomys idahoensis,608.8612
Thomomys,Thomomys clusius,608.8612
Thomomys,Thomomys townsendii,608.8612
Thomomys,Thomomys bulbivorus,608.8612
Crateromys,Crateromys heaneyi,620.3162071
Solomys,Solomys ponceleti,620.3162071
Uromys,Uromys imperator,620.3162071
Crateromys,Crateromys schadenbergi,620.3162071
Mallomys,Mallomys rothschildi,620.3162071
Mallomys,Mallomys aroaensis,620.3162071
Phloeomys,Phloeomys pallidus,620.3162071
Phloeomys,Phloeomys cumingi,620.3162071
Mallomys,Mallomys istapantap,620.3162071
Mallomys,Mallomys gunung,620.3162071
Papagomys,Papagomys armandvillei,620.3162071
Onychomys,Onychomys arenicola,622.64395
Desmodilliscus,Desmodilliscus braueri,624.3996409
Microdillus,Microdillus peeli,624.3996409
Lophuromys,Lophuromys melanonyx,624.3996409
Microhydromys,Microhydromys musseri,624.3996409
Microhydromys,Microhydromys richardsoni,624.3996409
Haeromys,Haeromys pusillus,624.3996409
Haeromys,Haeromys margarettae,624.3996409
Lorentzimys,Lorentzimys nouhuysi,624.3996409
Hylomyscus,Hylomyscus parvus,624.3996409
Haeromys,Haeromys minahassae,624.3996409
Pseudohydromys,Pseudohydromys murinus,624.3996409
Heimyscus,Heimyscus fumosus,624.3996409
Leggadina,Leggadina lakedownensis,624.3996409
Muriculus,Muriculus imberbis,624.3996409
Pseudohydromys,Pseudohydromys fuscus,624.3996409
Hylomyscus,Hylomyscus stella,624.3996409
Hylomyscus,Hylomyscus alleni,624.3996409
Hylomyscus,Hylomyscus grandis,624.3996409
Apomys,Apomys musculus,624.3996409
Pseudohydromys,Pseudohydromys ellermani,624.3996409
Pseudohydromys,Pseudohydromys occidentalis,624.3996409
Hylomyscus,Hylomyscus aeta,624.3996409
Leggadina,Leggadina forresti,624.3996409
Hylomyscus,Hylomyscus carillus,624.3996409
Vernaya,Vernaya fulva,624.3996409
Myomyscus,Myomyscus yemeni,624.3996409
Gerbillurus,Gerbillurus paeba,624.3996409
Brachiones,Brachiones przewalskii,624.3996409
Myomyscus,Myomyscus brockmani,624.3996409
Pseudohydromys,Pseudohydromys germani,624.3996409
Coccymys,Coccymys albidens,624.3996409
Coccymys,Coccymys ruemmleri,624.3996409
Gerbillurus,Gerbillurus tytonis,624.3996409
Millardia,Millardia gleadowi,624.3996409
Apomys,Apomys littoralis,624.3996409
Lophuromys,Lophuromys nudicaudus,624.3996409
Apomys,Apomys gracilirostris,624.3996409
Apomys,Apomys camiguinensis,624.3996409
Hylomyscus,Hylomyscus baeri,624.3996409
Paraleptomys,Paraleptomys wilhelmina,624.3996409
Apomys,Apomys datae,624.3996409
Apomys,Apomys hylocetes,624.3996409
Apomys,Apomys insignis,624.3996409
Apomys,Apomys sacobianus,624.3996409
Apomys,Apomys abrae,624.3996409
Apomys,Apomys microdon,624.3996409
Gerbillurus,Gerbillurus vallinus,624.3996409
Archboldomys,Archboldomys musseri,624.3996409
Archboldomys,Archboldomys kalinga,624.3996409
Archboldomys,Archboldomys luzonensis,624.3996409
Uranomys,Uranomys ruddi,624.3996409
Hylomyscus,Hylomyscus denniae,624.3996409
Lophuromys,Lophuromys rahmi,624.3996409
Gerbillurus,Gerbillurus setzeri,624.3996409
Aethomys,Aethomys granti,624.3996409
Zyzomys,Zyzomys argurus,624.3996409
Myomyscus,Myomyscus verreauxii,624.3996409
Pogonomys,Pogonomys sylvestris,624.3996409
Mastomys,Mastomys natalensis,624.3996409
Lophuromys,Lophuromys woosnami,624.3996409
Crunomys,Crunomys celebensis,624.3996409
Crunomys,Crunomys fallax,624.3996409
Crunomys,Crunomys suncoides,624.3996409
Crunomys,Crunomys melanius,624.3996409
Leptomys,Leptomys ernstmayri,624.3996409
Hybomys,Hybomys lunaris,624.3996409
Dephomys,Dephomys defua,624.3996409
Xeromys,Xeromys myoides,624.3996409
Chiruromys,Chiruromys vates,624.3996409
Mastomys,Mastomys shortridgei,624.3996409
Pogonomys,Pogonomys macrourus,624.3996409
Taterillus,Taterillus arenarius,624.3996409
Paramelomys,Paramelomys rubex,624.3996409
Chiruromys,Chiruromys lamia,624.3996409
Melomys,Melomys fraterculus,624.3996409
Stenocephalemys,Stenocephalemys albipes,624.3996409
Stenocephalemys,Stenocephalemys ruppi,624.3996409
Melasmothrix,Melasmothrix naso,624.3996409
Hybomys,Hybomys planifrons,624.3996409
Taterillus,Taterillus gracilis,624.3996409
Ammodillus,Ammodillus imbellis,624.3996409
Pelomys,Pelomys minor,624.3996409
Eropeplus,Eropeplus canus,624.3996409
Pogonomys,Pogonomys championi,624.3996409
Taterillus,Taterillus petteri,624.3996409
Taterillus,Taterillus emini,624.3996409
Niviventer,Niviventer eha,624.3996409
Mastomys,Mastomys coucha,624.3996409
Zelotomys,Zelotomys woosnami,624.3996409
Lophuromys,Lophuromys cinereus,624.3996409
Lophuromys,Lophuromys roseveari,624.3996409
Lophuromys,Lophuromys dieterleni,624.3996409
Lophuromys,Lophuromys huttereri,624.3996409
Maxomys,Maxomys whiteheadi,624.3996409
Hybomys,Hybomys univittatus,624.3996409
Desmodillus,Desmodillus auricularis,624.3996409
Abeomelomys,Abeomelomys sevia,624.3996409
Leimacomys,Leimacomys buettneri,624.3996409
Paraleptomys,Paraleptomys rufilatus,624.3996409
Zelotomys,Zelotomys hildegardeae,624.3996409
Taterillus,Taterillus tranieri,624.3996409
Lamottemys,Lamottemys okuensis,624.3996409
Sekeetamys,Sekeetamys calurus,624.3996409
Lophuromys,Lophuromys flavopunctatus,624.3996409
Deomys,Deomys ferrugineus,624.3996409
Hadromys,Hadromys yunnanensis,624.3996409
Dasymys,Dasymys montanus,624.3996409
Dasymys,Dasymys rufulus,624.3996409
Hadromys,Hadromys humei,624.3996409
Cremnomys,Cremnomys cutchicus,624.3996409
Pelomys,Pelomys isseli,624.3996409
Hybomys,Hybomys trivirgatus,624.3996409
Melomys,Melomys rufescens,624.3996409
Taterillus,Taterillus pygargus,624.3996409
Golunda,Golunda ellioti,624.3996409
Thamnomys,Thamnomys venustus,624.3996409
Aethomys,Aethomys namaquensis,624.3996409
Colomys,Colomys goslingi,624.3996409
Lophuromys,Lophuromys sikapusi,624.3996409
Malacomys,Malacomys edwardsi,624.3996409
Aethomys,Aethomys bocagei,624.3996409
Aethomys,Aethomys thomasi,624.3996409
Diplothrix,Diplothrix legata,624.3996409
Hybomys,Hybomys basilii,624.3996409
Hybomys,Hybomys badius,624.3996409
Lophuromys,Lophuromys medicaudatus,624.3996409
Malacomys,Malacomys cansdalei,624.3996409
Nesokia,Nesokia bunnii,624.3996409
Otomys,Otomys anchietae,624.3996409
Pelomys,Pelomys campanae,624.3996409
Nesoromys,Nesoromys ceramicus,624.3996409
Tarsomys,Tarsomys echinatus,624.3996409
Taterillus,Taterillus congicus,624.3996409
Taterillus,Taterillus lacustris,624.3996409
Lophuromys,Lophuromys chrysopus,624.3996409
Lophuromys,Lophuromys brevicaudus,624.3996409
Otomys,Otomys cuanzensis,624.3996409
Otomys,Otomys lacustris,624.3996409
Otomys,Otomys barbouri,624.3996409
Myomyscus,Myomyscus angolensis,624.3996409
Lophuromys,Lophuromys eisentrauti,624.3996409
Mastomys,Mastomys erythroleucus,624.3996409
Hapalomys,Hapalomys delacouri,624.3996409
Limnomys,Limnomys bryophilus,624.3996409
Limnomys,Limnomys sibuanus,624.3996409
Niviventer,Niviventer confucianus,624.3996409
Millardia,Millardia meltada,624.3996409
Melomys,Melomys frigicola,624.3996409
Melomys,Melomys lutillus,624.3996409
Thamnomys,Thamnomys schoutedeni,624.3996409
Tarsomys,Tarsomys apoensis,624.3996409
Niviventer,Niviventer langbianis,624.3996409
Hapalomys,Hapalomys longicaudatus,624.3996409
Melomys,Melomys capensis,624.3996409
Margaretamys,Margaretamys beccarii,624.3996409
Stochomys,Stochomys longicaudatus,624.3996409
Melomys,Melomys obiensis,624.3996409
Melomys,Melomys cervinipes,624.3996409
Melomys,Melomys burtoni,624.3996409
Niviventer,Niviventer cremoriventer,624.3996409
Otomys,Otomys occidentalis,624.3996409
Pelomys,Pelomys hopkinsi,624.3996409
Thamnomys,Thamnomys kempi,624.3996409
Nilopegamys,Nilopegamys plumbeus,624.3996409
Aethomys,Aethomys nyikae,624.3996409
Cremnomys,Cremnomys elvira,624.3996409
Chiromyscus,Chiromyscus chiropus,624.3996409
Protochromys,Protochromys fellowsi,624.3996409
Niviventer,Niviventer rapit,624.3996409
Leptomys,Leptomys signatus,624.3996409
Paramelomys,Paramelomys moncktoni,624.3996409
Niviventer,Niviventer coninga,624.3996409
Aethomys,Aethomys chrysophilus,624.3996409
Melomys,Melomys dollmani,624.3996409
Niviventer,Niviventer culturatus,624.3996409
Niviventer,Niviventer fulvescens,624.3996409
Dasymys,Dasymys foxi,624.3996409
Dasymys,Dasymys nudipes,624.3996409
Paramelomys,Paramelomys levipes,624.3996409
Aethomys,Aethomys silindensis,624.3996409
Aethomys,Aethomys stannarius,624.3996409
Leptomys,Leptomys elegans,624.3996409
Tokudaia,Tokudaia osimensis,624.3996409
Maxomys,Maxomys musschenbroekii,624.3996409
Niviventer,Niviventer lepturus,624.3996409
Melomys,Melomys paveli,624.3996409
Melomys,Melomys arcium,624.3996409
Melomys,Melomys cooperae,624.3996409
Melomys,Melomys howi,624.3996409
Melomys,Melomys bannisteri,624.3996409
Melomys,Melomys fulgens,624.3996409
Oenomys,Oenomys ornatus,624.3996409
Paramelomys,Paramelomys platyops,624.3996409
Stenocephalemys,Stenocephalemys griseicauda,624.3996409
Melomys,Melomys bougainville,624.3996409
Niviventer,Niviventer hinpoon,624.3996409
Maxomys,Maxomys bartelsii,624.3996409
Niviventer,Niviventer cameroni,624.3996409
Niviventer,Niviventer fraternus,624.3996409
Oenomys,Oenomys hypoxanthus,624.3996409
Desmomys,Desmomys yaldeni,624.3996409
Aethomys,Aethomys kaiseri,624.3996409
Desmomys,Desmomys harringtoni,624.3996409
Maxomys,Maxomys inas,624.3996409
Paramelomys,Paramelomys mollis,624.3996409
