"gene" "LOE_tissues" "GOE_tissues" "LOE_cis_eQTLs" "GOE_cis_eQTLs"
"212" "ENSG00000079432" "18" "30" "18" "30"
"213" "ENSG00000090372" "5" "33" "5" "26"
"214" "ENSG00000142230" "23" "19" "23" "19"
"215" "ENSG00000126457" "11" "34" "11" "22"
"216" "ENSG00000126583" "23" "17" "23" "17"
"217" "ENSG00000101266" "16" "29" "16" "29"
"218" "ENSG00000197122" "21" "20" "21" "20"
"219" "ENSG00000124214" "21" "25" "20" "22"
"220" "ENSG00000101138" "32" "8" "19" "8"
"221" "ENSG00000101191" "11" "12" "10" "10"
"222" "ENSG00000196700" "22" "21" "20" "20"
"223" "ENSG00000154727" "29" "16" "29" "16"
"224" "ENSG00000157540" "21" "22" "20" "21"
"225" "ENSG00000160216" "18" "27" "18" "27"
"226" "ENSG00000160218" "15" "25" "15" "25"
"227" "ENSG00000133422" "24" "24" "24" "24"
"228" "ENSG00000184708" "19" "29" "19" "28"
"229" "ENSG00000100353" "29" "15" "27" "15"
"230" "ENSG00000196419" "30" "18" "30" "18"
"231" "ENSG00000073464" "26" "12" "20" "12"
"232" "ENSG00000189221" "19" "22" "19" "22"
"233" "ENSG00000102225" "22" "26" "22" "21"
"234" "ENSG00000102226" "16" "30" "15" "25"
"235" "ENSG00000094631" "17" "31" "17" "31"
"236" "ENSG00000082458" "18" "23" "18" "22"
"237" "ENSG00000147140" "24" "24" "24" "23"
"238" "ENSG00000068366" "24" "22" "23" "21"
"239" "ENSG00000131725" "21" "20" "21" "20"
"240" "ENSG00000130826" "24" "24" "23" "16"
"241" "ENSG00000133216" "11" "22" "11" "22"
"242" "ENSG00000157193" "14" "17" "14" "17"
"243" "ENSG00000118454" "24" "21" "23" "21"
"244" "ENSG00000182247" "16" "22" "16" "21"
"245" "ENSG00000082701" "19" "19" "19" "15"
"246" "ENSG00000118564" "23" "20" "21" "20"
"247" "ENSG00000109670" "14" "28" "14" "28"
"248" "ENSG00000145431" "18" "23" "18" "22"
"249" "ENSG00000150753" "17" "26" "17" "23"
"250" "ENSG00000153046" "23" "19" "23" "17"
"251" "ENSG00000164742" "21" "19" "21" "19"
"252" "ENSG00000071243" "26" "20" "24" "20"
"253" "ENSG00000106615" "27" "13" "27" "13"
"254" "ENSG00000135040" "10" "25" "10" "22"
"255" "ENSG00000047056" "12" "19" "12" "19"
"256" "ENSG00000077147" "19" "17" "18" "17"
"257" "ENSG00000066382" "16" "13" "16" "13"
"258" "ENSG00000175115" "9" "23" "9" "17"
"259" "ENSG00000110880" "25" "14" "25" "14"
"260" "ENSG00000123200" "12" "21" "12" "21"
"261" "ENSG00000139687" "25" "20" "24" "18"
"262" "ENSG00000100614" "20" "18" "20" "16"
"263" "ENSG00000142208" "11" "22" "11" "21"
"264" "ENSG00000137845" "11" "18" "11" "18"
"265" "ENSG00000169032" "20" "25" "19" "25"
"266" "ENSG00000186260" "19" "21" "19" "20"
"267" "ENSG00000189091" "25" "13" "24" "13"
"268" "ENSG00000141456" "18" "26" "18" "26"
"269" "ENSG00000073584" "29" "7" "19" "7"
"270" "ENSG00000141551" "29" "15" "28" "15"
"271" "ENSG00000175387" "21" "17" "21" "17"
"272" "ENSG00000141646" "18" "22" "18" "21"
"273" "ENSG00000142459" "10" "27" "10" "25"
"274" "ENSG00000177380" "10" "34" "10" "31"
"275" "ENSG00000100316" "21" "22" "21" "22"
"276" "ENSG00000102230" "14" "16" "14" "16"
"277" "ENSG00000198910" "28" "18" "28" "17"
"278" "ENSG00000162374" "20" "9" "20" "9"
"279" "ENSG00000115935" "17" "11" "15" "11"
"280" "ENSG00000138757" "26" "7" "21" "6"
"281" "ENSG00000151612" "14" "23" "14" "22"
"282" "ENSG00000122515" "15" "19" "14" "15"
"283" "ENSG00000136875" "2" "27" "2" "20"
"284" "ENSG00000136848" "14" "25" "14" "24"
"285" "ENSG00000165699" "11" "13" "10" "12"
"286" "ENSG00000138207" "15" "25" "15" "25"
"287" "ENSG00000151553" "20" "11" "19" "11"
"288" "ENSG00000103249" "4" "6" "4" "5"
"289" "ENSG00000160551" "26" "13" "26" "13"
"290" "ENSG00000198720" "17" "18" "17" "18"
"291" "ENSG00000156261" "6" "17" "6" "16"
"292" "ENSG00000067842" "14" "15" "14" "15"
"293" "ENSG00000083307" "11" "8" "11" "8"
"294" "ENSG00000196961" "14" "14" "14" "14"
"295" "ENSG00000186716" "1" "9" "1" "4"
"296" "ENSG00000010671" "23" "5" "23" "5"
"297" "ENSG00000143376" "5" "11" "5" "9"
"298" "ENSG00000110768" "1" "19" "1" "12"
"299" "ENSG00000136448" "9" "5" "8" "5"
"300" "ENSG00000183207" "15" "9" "13" "9"
