"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"54" "PGS000199" 2 2 1 0.975 Inf
"55" "PGS000201" 841 466 0.55410225921522 1.27679501033175e-05 1.5153053545952
"56" "PGS000202" 805 426 0.529192546583851 1.14849784581615e-05 1.53136338823383
"57" "PGS000203" 860 450 0.523255813953488 1.72905411459884e-06 1.1282545217003
"58" "PGS000204" 827 420 0.507859733978235 -1.00096666039903e-06 0.934159764368173
"59" "PGS000205" 860 440 0.511627906976744 3.28867600992209e-06 1.13777794758136
"60" "PGS000206" 826 438 0.530266343825666 3.03591850309927e-06 1.13179387864575
"61" "PGS000210" 1 1 1 0.02 Inf
"62" "PGS000212" 1 0 0 -0.05 0
"63" "PGS000213" 1 0 0 -0.05453313 0
"64" "PGS000214" 1 0 0 -0.10116443 0
"65" "PGS000215" 1 0 0 -0.019158335 0
"66" "PGS000216" 1 0 0 -0.04937288 0
"67" "PGS000297" 5 5 1 0.02104596 Inf
"68" "PGS000298" 1 1 1 0.0131489 Inf
"69" "PGS000299" 4 4 1 0.025875 Inf
"70" "PGS000301" 3 3 1 0.171628333333333 Inf
"71" "PGS000302" 4 4 1 0.14897525 Inf
"72" "PGS000303" 3 3 1 0.00461466666666667 Inf
"73" "PGS000309" 3 0 0 -0.0223333333333333 0
"74" "PGS000311" 1 1 1 0.014 Inf
"75" "PGS000312" 3 2 0.666666666666667 0.0156666666666667 3.35
"76" "PGS000318" 9 9 1 0.526629333333333 Inf
"77" "PGS000319" 10 10 1 0.550277 Inf
"78" "PGS000321" 8 3 0.375 5.789675e-05 1.26792003826983
"79" "PGS000322" 14 8 0.571428571428571 0.000188822714285714 1.91825741044489
"80" "PGS000323" 8 5 0.625 0.000292051625 10.589139428365
"81" "PGS000329" 4500 2111 0.469111111111111 6.03421545311111e-07 1.16678350819113
"82" "PGS000330" 4515 2409 0.533554817275747 4.53310394817719e-06 1.6336513936645
"83" "PGS000331" 4432 2274 0.513086642599278 -3.95912788605596e-08 0.987374562804609
"84" "PGS000332" 4487 2023 0.450858034321373 -2.11743148328505e-06 0.773946637029175
"85" "PGS000333" 4618 2328 0.504114335210048 1.02067827936336e-06 1.17363571971388
"86" "PGS000335" 861 419 0.48664343786295 -2.15483421439384e-05 0.540209897398904
"87" "PGS000344" 1 0 0 -0.064 0
"88" "PGS000345" 1 0 0 -0.064 0
"89" "PGS000346" 1 0 0 -0.064 0
"90" "PGS000347" 1 0 0 -0.064 0
"91" "PGS000659" 1 1 1 0.04857 Inf
"92" "PGS000660" 3 3 1 0.0374733333333333 Inf
"93" "PGS000662" 1 1 1 0.041792627 Inf
"94" "PGS000665" 1 1 1 0.0477 Inf
"95" "PGS000668" 13 9 0.692307692307692 0.000561316823076923 3.31822541254099
"96" "PGS000669" 13 7 0.538461538461538 -1.27784324615385e-05 0.837348530547843
"97" "PGS000670" 31 20 0.645161290322581 0.000103248168064516 1.48465375171232
"98" "PGS000671" 26 8 0.307692307692308 -0.000214735257692308 0.320504262731604
"99" "PGS000672" 25 12 0.48 0.00021171532412 2.23066707767282
"100" "PGS000673" 15 7 0.466666666666667 -9.92025401333333e-05 0.710467993020208
"101" "PGS000674" 18 6 0.333333333333333 -0.000188691124888889 0.587749220045854
"102" "PGS000675" 22 6 0.272727272727273 -0.00139565144545455 0.242277116855311
"103" "PGS000676" 23 14 0.608695652173913 -4.75417554347826e-06 0.862374430681794
"104" "PGS000677" 14 9 0.642857142857143 0.000126022275 2.80175702758389
"105" "PGS000678" 28 18 0.642857142857143 0.000305934625714286 3.21025506576643
"106" "PGS000679" 3 3 1 0.00113688606666667 Inf
"107" "PGS000680" 37 20 0.540540540540541 0.000163655712783784 1.82416830450854
"108" "PGS000681" 7 2 0.285714285714286 -0.000328987635114286 0.0475288280802682
"109" "PGS000682" 20 8 0.4 -0.00034100990015 0.253046499622441
"110" "PGS000683" 15 10 0.666666666666667 0.000967635163333333 8.81059897002209
"111" "PGS000684" 4 3 0.75 -0.0002416659625 0.462203545795078
"112" "PGS000685" 14 8 0.571428571428571 0.000287736190714286 3.63992510130122
"113" "PGS000686" 36 19 0.527777777777778 -0.000134293689333333 0.684282244562945
"114" "PGS000687" 28 16 0.571428571428571 0.000221693105571429 2.3420923943765
"115" "PGS000688" 14 9 0.642857142857143 0.0002859193255 3.45151862535546
"116" "PGS000689" 12 6 0.5 5.777683e-05 1.05027739417974
"117" "PGS000691" 16 4 0.25 -0.000155304665 0.180364828025467
"118" "PGS000692" 15 7 0.466666666666667 0.0001835667406 2.16073706661912
"119" "PGS000693" 3 2 0.666666666666667 0.000117398266666667 1.77691577530699
