"client" "control_gene" "hsp90_client" "hsc70_client"
"44" "ENSG00000131187" "ENSG00000122694" TRUE TRUE
"45" "ENSG00000131844" "ENSG00000151348" TRUE FALSE
"46" "ENSG00000134574" "ENSG00000138629" TRUE TRUE
"47" "ENSG00000135446" "ENSG00000004961" TRUE TRUE
"48" "ENSG00000135902" "ENSG00000162971" TRUE TRUE
"49" "ENSG00000137338" "ENSG00000147588" TRUE TRUE
"50" "ENSG00000138686" "ENSG00000069018" TRUE TRUE
"51" "ENSG00000139219" "ENSG00000100280" TRUE TRUE
"52" "ENSG00000139567" "ENSG00000017427" TRUE FALSE
"53" "ENSG00000139908" "ENSG00000162892" TRUE TRUE
"54" "ENSG00000139988" "ENSG00000130649" TRUE FALSE
"55" "ENSG00000141551" "ENSG00000100852" TRUE FALSE
"56" "ENSG00000142208" "ENSG00000012174" TRUE FALSE
"57" "ENSG00000144852" "ENSG00000172548" TRUE TRUE
"58" "ENSG00000145020" "ENSG00000136861" TRUE TRUE
"59" "ENSG00000147044" "ENSG00000151474" TRUE FALSE
"60" "ENSG00000149418" "ENSG00000009709" TRUE TRUE
"61" "ENSG00000152661" "ENSG00000138944" TRUE FALSE
"62" "ENSG00000156313" "ENSG00000164649" TRUE FALSE
"63" "ENSG00000156873" "ENSG00000171208" TRUE TRUE
"64" "ENSG00000157764" "ENSG00000028277" TRUE FALSE
"65" "ENSG00000158290" "ENSG00000102786" TRUE FALSE
"66" "ENSG00000160183" "ENSG00000136521" TRUE TRUE
"67" "ENSG00000161594" "ENSG00000197457" TRUE TRUE
"68" "ENSG00000162267" "ENSG00000125877" TRUE FALSE
"69" "ENSG00000163161" "ENSG00000079215" TRUE FALSE
"70" "ENSG00000163513" "ENSG00000179454" TRUE TRUE
"71" "ENSG00000164405" "ENSG00000174007" TRUE FALSE
"72" "ENSG00000165917" "ENSG00000075290" TRUE TRUE
"73" "ENSG00000166035" "ENSG00000119661" TRUE FALSE
"74" "ENSG00000166828" "ENSG00000029364" TRUE FALSE
"75" "ENSG00000166947" "ENSG00000105048" TRUE TRUE
"76" "ENSG00000167580" "ENSG00000131471" TRUE FALSE
"77" "ENSG00000167642" "ENSG00000163900" TRUE FALSE
"78" "ENSG00000167772" "ENSG00000127125" TRUE TRUE
"79" "ENSG00000167792" "ENSG00000136045" TRUE TRUE
"80" "ENSG00000169297" "ENSG00000172602" TRUE FALSE
"81" "ENSG00000169692" "ENSG00000115255" TRUE TRUE
"82" "ENSG00000169814" "ENSG00000135052" TRUE FALSE
"83" "ENSG00000169836" "ENSG00000169313" TRUE FALSE
"84" "ENSG00000171100" "ENSG00000137522" TRUE FALSE
"85" "ENSG00000171608" "ENSG00000134369" TRUE TRUE
"86" "ENSG00000171759" "ENSG00000111907" TRUE TRUE
"87" "ENSG00000172867" "ENSG00000140749" TRUE FALSE
"88" "ENSG00000175198" "ENSG00000140853" TRUE FALSE
"89" "ENSG00000178802" "ENSG00000103876" TRUE TRUE
"90" "ENSG00000180176" "ENSG00000174744" TRUE FALSE
"91" "ENSG00000186010" "ENSG00000138100" TRUE TRUE
"92" "ENSG00000187566" "ENSG00000123307" TRUE TRUE
"93" "ENSG00000188452" "ENSG00000133739" TRUE FALSE
"94" "ENSG00000198331" "ENSG00000167702" TRUE FALSE
"95" "ENSG00000198959" "ENSG00000166211" TRUE TRUE
"96" "ENSG00000204311" "ENSG00000160439" TRUE TRUE
"97" "ENSG00000214160" "ENSG00000157637" TRUE TRUE
"98" "ENSG00000004455" "ENSG00000070610" FALSE TRUE
"99" "ENSG00000009765" "ENSG00000160282" FALSE TRUE
"100" "ENSG00000011198" "ENSG00000167880" FALSE TRUE
"101" "ENSG00000054523" "ENSG00000177103" FALSE TRUE
"102" "ENSG00000091010" "ENSG00000104140" FALSE TRUE
"103" "ENSG00000096093" "ENSG00000134115" FALSE TRUE
"104" "ENSG00000100225" "ENSG00000111325" FALSE TRUE
"105" "ENSG00000100979" "ENSG00000107521" FALSE TRUE
"106" "ENSG00000105711" "ENSG00000166106" FALSE TRUE
"107" "ENSG00000106003" "ENSG00000103266" FALSE TRUE
"108" "ENSG00000113108" "ENSG00000149582" FALSE TRUE
"109" "ENSG00000118503" "ENSG00000133895" FALSE TRUE
"110" "ENSG00000131828" "ENSG00000076003" FALSE TRUE
"111" "ENSG00000137869" "ENSG00000178904" FALSE TRUE
"112" "ENSG00000141510" "ENSG00000140750" FALSE TRUE
"113" "ENSG00000147465" "ENSG00000139330" FALSE TRUE
"114" "ENSG00000148290" "ENSG00000151715" FALSE TRUE
"115" "ENSG00000161653" "ENSG00000002330" FALSE TRUE
"116" "ENSG00000162552" "ENSG00000128203" FALSE TRUE
"117" "ENSG00000167434" "ENSG00000184281" FALSE TRUE
"118" "ENSG00000168269" "ENSG00000175906" FALSE TRUE
"119" "ENSG00000171953" "ENSG00000105939" FALSE TRUE
"120" "ENSG00000172922" "ENSG00000123080" FALSE TRUE
"121" "ENSG00000176749" "ENSG00000108256" FALSE TRUE
"122" "ENSG00000180902" "ENSG00000067836" FALSE TRUE
"123" "ENSG00000187486" "ENSG00000177352" FALSE TRUE
"124" "ENSG00000196338" "ENSG00000143401" FALSE TRUE
